# HJD		Vr1	σ1	Vr2	σ2
57357.6250	-35.50	0.28	59.53	0.28
57413.5664	69.37	0.22	-48.12	0.32
57645.7656	101.60	0.26	-77.96	0.29
57682.7109	93.78	0.31	-72.21	1.21
57676.5938	-30.95	0.28	54.11	1.29
57708.6211	6.10	0.46	16.91	1.07
57711.6289	-40.26	0.37	64.62	0.21
57737.5820	-27.67	0.38	52.37	0.15
57759.5664	-40.18	0.42	64.85	0.14
57998.7461	94.29	0.23	-72.81	0.86
58027.6406	-41.16	0.51	64.08	0.29
58089.8047	-33.79	1.27	53.10	1.32
58114.5664	-27.00	0.34	49.68	1.34
58122.5977	-18.52	0.35	43.31	0.30
58271.9336	-34.50	0.84	56.54	0.16
58294.9453	-39.36	0.23	65.99	1.42

# Data comes from Lester et al. 2019 paper Table 9
# https://arxiv.org/pdf/1902.05557.pdf
